Index	Name	Author	FileName	Tags	Dependencies	URL
100	 .⋆｡˚✭˚｡⋆ . ✦ .⋆｡˚✭˚ ☾  69 ⋆ Customization ⋆ Other  ☽ ˚✭˚｡⋆. ✦ . ⋆｡˚✭˚｡⋆. ｡˚✭˚｡⋆ ˚✭˚｡⋆. 	Astralities	ASTRL_Dividers_Customization_Other_34c46a00-c5a0-44a1-a76c-f7727804366d.pak			
101	Splatter Overhaul	Necrotic Flame	SplatterOverhaul_90428aa1-bc30-93b8-5760-a157354a2803.pak		GustavX	https://www.nexusmods.com/baldursgate3/mods/24701
102	FaerunColors	TechRoot	faeruncolors_a669cf0b-926c-4d5-0iqa.pak		GustavDev, GustavX	https://www.nexusmods.com/baldursgate3/mods/3661
103	Faeruncolors FR	Phopromille	faeruncolorsfr_95ab1246-4ced-7-3mcj.pak		GustavX	
104	Show Camp Night Notification	Macrochiroptera	showcampnightnotification_6357-8uk7.pak		GustavDev, GustavX	
105	Show Camp Night Notification - FR	Shirma	showcampnightnotificationfr_30-ayol.pak		GustavX	
106	 .⋆｡˚✭˚｡⋆ . ✦ .⋆｡˚✭˚ ☾  72 ⋆ Companions ⋆ Gale  ☽ ˚✭˚｡⋆. ✦ . ⋆｡˚✭˚｡⋆. ｡˚✭˚｡⋆ ˚✭˚｡⋆. 	Astralities	ASTRL_Dividers_Companions_Gale_22b481a7-cfa9-4580-8543-4aad73208e37.pak			
107	HT_Book Club With Gale	HyperspaceTowel	book-club-with-gale_87cbd5af-3-h9rb.pak		GustavX	
108	 .⋆｡˚✭˚｡⋆ . ✦ .⋆｡˚✭˚ ☾  79 ⋆ Companions ⋆ Shadowheart  ☽ ˚✭˚｡⋆. ✦ . ⋆｡˚✭˚｡⋆. ｡˚✭˚｡⋆ ˚✭˚｡⋆. 	Astralities	ASTRL_Dividers_Companions_Shadowheart_2ae2886e-5dd6-4ada-b22b-f7ee4e48fbd3.pak			
109	HT_Shadowheart's New Starting Gear	HyperspaceTowel	HT_ShadowheartStartingGear_b4f54b7d-244f-1053-f806-0336cfed838b.pak		GustavX	
110	HallowleafLetters	Kelocena, koboldJuno, magnetuning	hallowleafletters_d9d61ac1-668-3lnt.pak		GustavX	
111	Missed Connections: Shadowheart	HyperspaceTowel	missed-connections-shadowheart-8wjl.pak		GustavDev	https://www.nexusmods.com/baldursgate3/mods/15272
112	HT_Missed Connections: Truly Connect with Shadowheart	HyperspaceTowel	HT_MissedConnections_Shadowheart_Act1_de8adca9-845e-48fc-842b-89dbe9271142.pak		GustavDev	https://www.nexusmods.com/baldursgate3/mods/17359
